reference,category,name,description,material,season,made_in,gender,color,size_label,age_label,price_eur,cost_eur,stock_quantity,weight_grams,image_url
BODY-NAT-BIO,Bébé,Body bébé coton bio,"Body bébé en coton biologique certifié, idéal pour les premiers mois. Coupe confortable et finitions soignées.",100 % coton bio,Toute saison,Portugal,mixte,Naturel,3 mois,0-3 mois,"12,90","5,20",15,145,/products/body-bebe-coton-bio.svg
BODY-NAT-BIO,Bébé,Body bébé coton bio,"Body bébé en coton biologique certifié, idéal pour les premiers mois. Coupe confortable et finitions soignées.",100 % coton bio,Toute saison,Portugal,mixte,Naturel,6 mois,3-6 mois,"13,90","5,50",12,155,
BODY-NAT-BIO,Bébé,Body bébé coton bio,"Body bébé en coton biologique certifié, idéal pour les premiers mois. Coupe confortable et finitions soignées.",100 % coton bio,Toute saison,Portugal,mixte,Naturel,9 mois,6-9 mois,"14,90","5,80",10,165,
GIG-NUAGES,Bébé,Gigoteuse nuages,"Gigoteuse douce pour des nuits sereines. Matière respirante et zip de sécurité.",100 % coton,Automne-hiver,France,mixte,Bleu nuage,0-6 mois,0-6 mois,"34,90","14,00",8,280,/products/gigoteuse-nuages-bebe.svg
GIG-NUAGES,Bébé,Gigoteuse nuages,"Gigoteuse douce pour des nuits sereines. Matière respirante et zip de sécurité.",100 % coton,Automne-hiver,France,mixte,Bleu nuage,6-12 mois,6-12 mois,"36,90","14,50",6,300,
COMB-BB-POL,Bébé,Combinaison bébé polaire,"Combinaison bébé en polaire douce, parfaite pour les sorties fraîches. Ouverture pressions devant.",100 % polyester recyclé doublé coton,Automne-hiver,France,mixte,Gris perle,3 mois,0-3 mois,"39,90","16,00",7,320,/products/combinaison-bebe-polaire.svg
COMB-BB-POL,Bébé,Combinaison bébé polaire,"Combinaison bébé en polaire douce, parfaite pour les sorties fraîches. Ouverture pressions devant.",100 % polyester recyclé doublé coton,Automne-hiver,France,mixte,Gris perle,6 mois,3-6 mois,"41,90","16,50",5,340,
ROB-LIBERTY,Fille,Robe liberty fleurie,"Robe fille en coton imprimé liberty. Coupe évasée et finitions délicates.",100 % coton,Printemps-été,Portugal,fille,Liberty rose,4 ans,3-4 ans,"27,90","11,00",6,180,/products/robe-liberty-fleurie.svg
ROB-LIBERTY,Fille,Robe liberty fleurie,"Robe fille en coton imprimé liberty. Coupe évasée et finitions délicates.",100 % coton,Printemps-été,Portugal,fille,Liberty rose,6 ans,5-6 ans,"29,90","11,50",5,190,
ROB-SMOCK,Fille,Robe smockée broderie,"Robe fille smockée, col rond et manches courtes. Broderie anglaise sur le buste.",100 % coton,Printemps-été,Portugal,fille,Blanc cassé,3 ans,2-3 ans,"32,90","13,00",4,170,/products/robe-smock-brodee.svg
ROB-SMOCK,Fille,Robe smockée broderie,"Robe fille smockée, col rond et manches courtes. Broderie anglaise sur le buste.",100 % coton,Printemps-été,Portugal,fille,Blanc cassé,4 ans,3-4 ans,"34,90","13,50",4,175,
DEB-ETE-F,Fille,Débardeur fille coton,"Débardeur fille en coton peigné, bretelles fines et coupe ajustée.",100 % coton,Printemps-été,Portugal,fille,Corail,4 ans,3-4 ans,"11,90","4,50",14,70,/products/debardeur-fille-coton.svg
